Low,Median,High,Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position
18.46,34.0,50.77,ON,Electrical and electronics engineering technologists and technicians ,22310,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
18.5,24.04,47.2,ON,Electronic service technicians (household and business equipment) ,22311,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
28.8,37.4,56.0,ON,Industrial instrument technicians and mechanics ,22312,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
21.09,37.09,55.98,ON,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors ",22313,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
24.04,49.74,73.63,ON,Managers in health care ,30010,3,30,Health occupations,Specialized middle management occupations in health care,0,Managers
46.79,129.66,280.81,ON,Specialists in clinical and laboratory medicine ,31100,3,31,Health occupations,Professional occupations in health,1,Professionals
58.73,189.41,369.7,ON,Specialists in surgery ,31101,3,31,Health occupations,Professional occupations in health,1,Professionals
49.04,135.1,251.93,ON,General practitioners and family physicians ,31102,3,31,Health occupations,Professional occupations in health,1,Professionals
21.0,50.48,90.91,ON,Veterinarians ,31103,3,31,Health occupations,Professional occupations in health,1,Professionals
18.97,55.87,112.81,ON,Dentists ,31110,3,31,Health occupations,Professional occupations in health,1,Professionals
18.97,41.9,83.8,ON,Optometrists ,31111,3,31,Health occupations,Professional occupations in health,1,Professionals
30.29,43.59,56.41,ON,Audiologists and speech-language pathologists ,31112,3,31,Health occupations,Professional occupations in health,1,Professionals
40.0,51.5,65.0,ON,Pharmacists ,31120,3,31,Health occupations,Professional occupations in health,1,Professionals
21.83,38.0,48.65,ON,Dietitians and nutritionists ,31121,3,31,Health occupations,Professional occupations in health,1,Professionals
18.0,39.11,61.54,ON,Psychologists ,31200,3,31,Health occupations,Professional occupations in health,1,Professionals
18.97,32.87,73.59,ON,Chiropractors ,31201,3,31,Health occupations,Professional occupations in health,1,Professionals
23.08,42.74,50.0,ON,Physiotherapists ,31202,3,31,Health occupations,Professional occupations in health,1,Professionals
33.5,43.27,51.03,ON,Occupational therapists ,31203,3,31,Health occupations,Professional occupations in health,1,Professionals
20.0,26.37,42.39,ON,Kinesiologists and other professional occupations in therapy and assessment ,31204,3,31,Health occupations,Professional occupations in health,1,Professionals
18.97,33.3,65.54,ON,Other professional occupations in health diagnosing and treating ,31209,3,31,Health occupations,Professional occupations in health,1,Professionals
25.64,42.0,55.56,ON,Nursing coordinators and supervisors ,31300,3,31,Health occupations,Professional occupations in health,1,Professionals
26.67,38.05,48.6,ON,Registered nurses and registered psychiatric nurses ,31301,3,31,Health occupations,Professional occupations in health,1,Professionals
24.04,54.01,66.67,ON,Nurse practitioners ,31302,3,31,Health occupations,Professional occupations in health,1,Professionals
16.55,55.0,70.19,ON,"Physician assistants, midwives and allied health professionals ",31303,3,31,Health occupations,Professional occupations in health,1,Professionals
16.55,25.0,35.42,ON,Opticians ,32100,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
24.25,30.0,33.0,ON,Licensed practical nurses ,32101,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
20.0,40.5,48.0,ON,Paramedical occupations ,32102,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
28.0,39.8,56.46,ON,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists ",32103,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
16.55,20.0,30.0,ON,Animal health technologists and veterinary technicians ,32104,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
16.55,23.0,35.0,ON,Other technical occupations in therapy and assessment ,32109,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
18.97,24.92,73.06,ON,Denturists ,32110,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
30.0,38.0,48.0,ON,Dental hygienists and dental therapists ,32111,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
20.0,26.0,43.27,ON,Dental technologists and technicians ,32112,3,32,Health occupations,Technical occupations in health,2,Technical Occupations and/or Supervisors
