Occupation (NOC),Low,Median,High,Province
Animal health technologists and veterinary technicians (32104),15.25,21,26.28,QC
Other technical occupations in therapy and assessment (32109),17.75,27.04,33,QC
Denturists (32110),"31,361","59,600","139,000",QC
Dental hygienists and dental therapists (32111),26.1,34,45,QC
Dental technologists and technicians (32112),18.78,23.94,32.5,QC
Medical laboratory technologists (32120),23.97,30.77,36,QC
Medical radiation technologists (32121),24.5,33.3,38,QC
Medical sonographers (32122),28.41,37.16,45.69,QC
Cardiology technologists and electrophysiological diagnostic technologists (32123),20,30.22,31.99,QC
Pharmacy technicians (32124),15.25,20.75,30,QC
Other medical technologists and technicians (32129),16.25,20,26,QC
Traditional Chinese medicine practitioners and acupuncturists (32200),N/A,"41,600",N/A,QC
Massage therapists (32201),"31,361","31,361","49,200",QC
Other practitioners of natural healing (32209),N/A,"31,361",N/A,QC
Dental assistants and dental laboratory assistants (33100),18.25,24,29.75,QC
Medical laboratory assistants and related technical occupations (33101),19.98,30,35,QC
"Nurse aides, orderlies and patient service associates (33102)",17.5,21.86,25.8,QC
Pharmacy technical assistants and pharmacy assistants (33103),15.25,19,26,QC
Other assisting occupations in support of health services (33109),15.4,21.4,26.15,QC
Government managers - health and social policy development and program administration (40010),46.7,53.33,65.64,QC
"Government managers - economic analysis, policy development and program administration (40011)",43.59,61.54,69.23,QC
Government managers - education policy development and program administration (40012),22.37,49.93,66.11,QC
Other managers in public administration (40019),41.21,60.44,76.92,QC
Administrators - post-secondary education and vocational training (40020),31.25,52.4,67.31,QC
School principals and administrators of elementary and secondary education (40021),32.42,47.12,66.67,QC
"Managers in social, community and correctional services (40030)",24.04,37,56.76,QC
Commissioned police officers and related occupations in public protection services (40040),35.05,61.58,77.68,QC
Fire chiefs and senior firefighting officers (40041),30,54,60,QC
Commissioned officers of the Canadian Armed Forces (40042),15.25,40.07,58.07,QC
Judges (41100),"310,000","310,000","383,700",QC
Lawyers and Quebec notaries (41101),27.48,53.85,85.16,QC
University professors and lecturers (41200),25,55.29,81.73,QC
Post-secondary teaching and research assistants (41201),15.25,26.78,49.45,QC
College and other vocational instructors (41210),25,45,54.45,QC
Secondary school teachers (41220),27.76,42.56,55.29,QC
Elementary school and kindergarten teachers (41221),24.73,39.06,51.48,QC
Social workers (41300),24.73,34,45.22,QC
Therapists in counselling and related specialized therapies (41301),24,36,47.98,QC
Religious leaders (41302),20,25,25.96,QC
Police investigators and other investigative occupations (41310),29,47,55,QC
Probation and parole officers (41311),28.18,41.65,47.31,QC
Educational counsellors (41320),35.1,44,49.26,QC
Career development practitioners and career counsellors (except education) (41321),23.08,27.11,36.31,QC
"Natural and applied science policy researchers, consultants and program officers (41400)",26,40,52.53,QC
Economists and economic policy researchers and analysts (41401),21.63,46.7,71.79,QC
Business development officers and market researchers and analysts (41402),22.53,39.42,60.1,QC
"Social policy researchers, consultants and program officers (41403)",27,40.11,54.36,QC
"Health policy researchers, consultants and program officers (41404)",23.95,43.59,50.14,QC
"Education policy researchers, consultants and program officers (41405)",29.67,40,50.55,QC
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",21.98,28.85,46.7,QC
Program officers unique to government (41407),23.75,33.65,56.49,QC
Other professional occupations in social science (41409),15.44,35.05,51.31,QC
Police officers (except commissioned) (42100),26.44,47,57.99,QC
Firefighters (42101),24,40,50,QC
Specialized members of the Canadian Armed Forces (42102),15.35,34.75,44.4,QC
Paralegals and related occupations (42200),18,29.05,48.35,QC
Social and community service workers (42201),17.8,24,34,QC
Early childhood educators and assistants (42202),16.67,22.89,27.76,QC
Instructors of persons with disabilities (42203),23.12,29.8,34.59,QC
Religion workers (42204),15.25,21.15,37.97,QC
Elementary and secondary school teacher assistants (43100),20,22,28,QC
Other instructors (43109),15.6,20.8,30,QC
Sheriffs and bailiffs (43200),15.25,27.72,42.33,QC
Correctional service officers (43201),28,35.94,43.27,QC
By-law enforcement and other regulatory officers (43202),18.5,28.6,40.11,QC
"Border services, customs, and immigration officers (43203)",27,38.46,49.89,QC
Operations Members of the Canadian Armed Forces (43204),23.42,32.96,45.17,QC
Home child care providers (44100),15.25,18.5,24,QC
"Home support workers, caregivers and related occupations (44101)",15.25,19.65,25,QC
Primary combat members of the Canadian Armed Forces (44200),19.37,29.5,37.4,QC
"Student monitors, crossing guards and related occupations (45100)",18.38,20.55,22.55,QC
"Library, archive, museum and art gallery managers (50010)",23.04,42.93,68.59,QC
"Managers - publishing, motion pictures, broadcasting and performing arts (50011)",19,34.83,57.14,QC
"Recreation, sports and fitness program and service directors (50012)",18.05,36.16,66.01,QC
Librarians (51100),30.91,46.26,50.75,QC
Conservators and curators (51101),19.62,33.91,55.31,QC
Archivists (51102),30,30,49.74,QC
Editors (51110),23,36,41.06,QC
Authors and writers (except technical) (51111),23,33.33,46.3,QC
Technical writers (51112),23.35,35.92,53.38,QC
Journalists (51113),24,32,43,QC
"Translators, terminologists and interpreters (51114)",19.23,32.21,46.07,QC
"Producers, directors, choreographers and related occupations (51120)",24.04,35.9,55.29,QC
"Conductors, composers and arrangers (51121)","31,361","32,800","89,000",QC
Musicians and singers (51122),"31,361","31,361","88,000",QC
Library and public archive technicians (52100),19.23,24.04,37.49,QC
Film and video camera operators (52110),18.75,34,47.5,QC
Graphic arts technicians (52111),18,28.71,47.98,QC
Broadcast technicians (52112),N/A,33.51,N/A,QC
Audio and video recording technicians (52113),19,29,41,QC
Announcers and other broadcasters (52114),15.25,33.97,72.33,QC
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts (52119)",18.17,30,50.96,QC
Graphic designers and illustrators (52120),19.57,25,46,QC
Interior designers and interior decorators (52121),17,26.44,50,QC
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",15.25,19.23,30.65,QC
Photographers (53110),15.25,20,35.82,QC
"Motion pictures, broadcasting, photography and performing arts assistants and operators (53111)",17,25,37.5,QC
Dancers (53120),17.06,30.44,49.86,QC
"Actors, comedians and circus performers (53121)",15.25,23.77,36.33,QC
"Painters, sculptors and other visual artists (53122)",16.75,26.69,40,QC
"Theatre, fashion, exhibit and other creative designers (53123)",15.25,24.44,37.31,QC
Artisans and craftspersons (53124),15.25,18,25,QC
"Patternmakers - textile, leather and fur products (53125)",19.96,27.91,35.7,QC
Athletes (53200),15.25,19.75,43.05,QC
Coaches (53201),15.25,26,35,QC
"Program leaders and instructors in recreation, sport and fitness (54100)",15.25,17,26,QC
Corporate sales managers (60010),30.26,50,87.18,QC
Retail and wholesale trade managers (60020),19.25,36.06,70.67,QC
Restaurant and food service managers (60030),16,23.35,40.87,QC
Accommodation service managers (60031),21.85,36.06,65,QC
Managers in customer and personal services (60040),20.25,42.31,60.1,QC
Retail sales supervisors (62010),15.25,20,31.25,QC
Food service supervisors (62020),15.25,17,22,QC
Executive housekeepers (62021),16,20.42,28.8,QC
"Accommodation, travel, tourism and related services supervisors (62022)",18,25,38,QC
Customer and information services supervisors (62023),17,27.47,45.64,QC
Cleaning supervisors (62024),17.5,23,31.25,QC
Other services supervisors (62029),16,21.52,33,QC
Technical sales specialists - wholesale trade (62100),18,30,55,QC
Retail and wholesale buyers (62101),18.27,28,41.03,QC
Chefs (62200),15.25,21.08,30,QC
Funeral directors and embalmers (62201),15.25,20.5,36.06,QC
"Jewellers, jewellery and watch repairers and related occupations (62202)",15.25,18.76,25,QC
Insurance agents and brokers (63100),20,27.69,39,QC
Real estate agents and salespersons (63101),"31,361","57,200","155,000",QC
Financial sales representatives (63102),20,26.67,42.05,QC
Cooks (63200),15.25,17,22.7,QC
Butchers - retail and wholesale (63201),15.25,19,23,QC
Bakers (63202),15.25,16.4,24,QC
Hairstylists and barbers (63210),15.25,16,32.05,QC
"Estheticians, electrologists and related occupations (63211)",15.25,20,22,QC
Upholsterers (63221),17,19.5,37.83,QC
Retail salespersons and visual merchandisers (64100),15.25,15.5,25,QC
Sales and account representatives - wholesale trade (non-technical) (64101),18,27,45.99,QC
"Tailors, dressmakers, furriers and milliners (64200)",15.25,17.5,21,QC
"Image, social and other personal consultants (64201)",15.25,32.8,58.09,QC
Maîtres d'hôtel and hosts/hostesses (64300),15.25,16.67,28.85,QC
Bartenders (64301),15.25,18,26,QC
Travel counsellors (64310),15.25,19,21.15,QC
Pursers and flight attendants (64311),27,43.42,58.26,QC
Airline ticket and service agents (64312),15.5,20.01,29.96,QC
"Ground and water transport ticket agents, cargo service representatives and related clerks (64313)",15.25,19.3,29.14,QC
Hotel front desk clerks (64314),15.25,16,21,QC
Tour and travel guides (64320),15.25,17,24,QC
Casino workers (64321),23.82,27.92,35,QC
Outdoor sport and recreational guides (64322),15.25,17.78,22.5,QC
Customer services representatives - financial institutions (64400),17,21,27,QC
Postal services representatives (64401),15.25,25,31.73,QC
Other customer and information services representatives (64409),15.25,22,31.5,QC
Security guards and related security service occupations (64410),16.7,19,27.8,QC
Cashiers (65100),15.25,15.25,18,QC
Service station attendants (65101),15.25,15.25,16.75,QC
"Store shelf stockers, clerks and order fillers (65102)",15.25,15.25,18.5,QC
Other sales related occupations (65109),15.25,16,30,QC
Food and beverage servers (65200),15.25,17,30,QC
"Food counter attendants, kitchen helpers and related support occupations (65201)",15.25,15.25,20,QC
Meat cutters and fishmongers – retail and wholesale (65202),15.25,18.5,27,QC
"Support occupations in accommodation, travel and facilities set-up services (65210)",15.25,19.84,28,QC
"Operators and attendants in amusement, recreation and sport (65211)",15.25,16,25.34,QC
Pet groomers and animal care workers (65220),15.25,16,25,QC
Other support occupations in personal services (65229),N/A,"31,361",N/A,QC
Light duty cleaners (65310),15.25,19.17,22.33,QC
Specialized cleaners (65311),15.25,18,23,QC
"Janitors, caretakers and heavy-duty cleaners (65312)",15.25,20,27,QC
"Dry cleaning, laundry and related occupations (65320)",15.25,18.06,21.69,QC
Other service support occupations (65329),15.25,16,20,QC
Construction managers (70010),25,42,69.71,QC
Home building and renovation managers (70011),"31,361","38,000","85,000",QC
Facility operation and maintenance managers (70012),24,40,60.1,QC
Managers in transportation (70020),26,48.08,74.04,QC
Postal and courier services managers (70021),15.25,36.94,56.98,QC
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",24.04,32.75,45,QC
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",28.7,41.37,54.78,QC
"Contractors and supervisors, pipefitting trades (72012)",41,45,50,QC
"Contractors and supervisors, carpentry trades (72013)",24.04,40.5,57.69,QC
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",24.04,39.5,49,QC
"Contractors and supervisors, mechanic trades (72020)",22,32.21,49.04,QC
"Contractors and supervisors, heavy equipment operator crews (72021)",24,35.54,51.28,QC
"Supervisors, printing and related occupations (72022)",17.29,27.99,43.21,QC
"Supervisors, railway transport operations (72023)",25.58,43.67,65.72,QC
"Supervisors, motor transport and other ground transit operators (72024)",21,30,45.64,QC
"Supervisors, mail and message distribution occupations (72025)",19.76,26.65,36,QC
Machinists and machining and tooling inspectors (72100),19,27,36,QC
Tool and die makers (72101),18.45,28,45,QC
Sheet metal workers (72102),24.19,39,43.01,QC
Boilermakers (72103),39.4,45,46.12,QC
Structural metal and platework fabricators and fitters (72104),18,25,41.72,QC
Ironworkers (72105),34.83,42,46,QC
Welders and related machine operators (72106),20.6,26,36.8,QC
Electricians (except industrial and power system) (72200),21,39,43.01,QC
Industrial electricians (72201),24,34,46.06,QC
Power system electricians (72202),30,41.25,54,QC
Electrical power line and cable workers (72203),28,40,47,QC
Telecommunications line and cable installers and repairers (72204),21,30,42,QC
Telecommunications equipment installation and cable television service technicians (72205),22,31.99,41.41,QC
Plumbers (72300),20,38,43,QC
"Steamfitters, pipefitters and sprinkler system installers (72301)",25,41.66,45.19,QC
Gas fitters (72302),18.3,34.07,56.95,QC
Carpenters (72310),22.6,35,42,QC
Cabinetmakers (72311),16.5,21.03,27,QC
Bricklayers (72320),24.76,38.37,42.11,QC
Insulators (72321),25.29,41.3,44.28,QC
Construction millwrights and industrial mechanics (72400),20.68,29.32,43.1,QC
Heavy-duty equipment mechanics (72401),19,30,43,QC
"Heating, refrigeration and air conditioning mechanics (72402)",21,36,44.26,QC
Railway carmen/women (72403),22.06,41.37,57,QC
Aircraft mechanics and aircraft inspectors (72404),23,37.29,50.51,QC
Machine fitters (72405),16.34,34.34,47.8,QC
Elevator constructors and mechanics (72406),26,43,48,QC
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",17.35,25,35,QC
"Auto body collision, refinishing and glass technicians and damage repair estimators (72411)",15.25,23.85,33,QC
Oil and solid fuel heating mechanics (72420),19,25,36.24,QC
Appliance servicers and repairers (72421),15.25,25.04,47.91,QC
Electrical mechanics (72422),23,29.75,36,QC
"Motorcycle, all-terrain vehicle and other related mechanics (72423)",20,24,65,QC
Other small engine and small equipment repairers (72429),16,21,34,QC
Crane operators (72500),17.71,35.2,54.46,QC
Water well drillers (72501),20,28.61,40.43,QC
"Air pilots, flight engineers and flying instructors (72600)",19.78,57.69,100,QC
Air traffic controllers and related occupations (72601),23.91,50.47,111.71,QC
"Deck officers, water transport (72602)",23,38,66.67,QC
"Engineer officers, water transport (72603)",22.02,35.07,56.38,QC
Railway traffic controllers and marine traffic regulators (72604),N/A,40.37,N/A,QC
Other technical trades and related occupations (72999),19,22.05,37,QC
Concrete finishers (73100),26.07,35.05,41.24,QC
Tilesetters (73101),23.5,34.74,42,QC
"Plasterers, drywall installers and finishers and lathers (73102)",24,36.1,41.62,QC
Roofers and shinglers (73110),25,35,43,QC
Glaziers (73111),21.82,34.46,42,QC
Painters and decorators (except interior decorators) (73112),21.15,32,40,QC
Residential and commercial installers and servicers (73200),15.75,24,37,QC
General building maintenance workers and building superintendents (73201),15.6,20,26.44,QC
Pest controllers and fumigators (73202),15.25,23.62,39.83,QC
Other repairers and servicers (73209),17,21,26.44,QC
Transport truck drivers (73300),17,24,30.74,QC
"Bus drivers, subway operators and other transit operators (73301)",15.25,21,32,QC
Railway and yard locomotive engineers (73310),33.65,40.87,43,QC
Railway conductors and brakemen/women (73311),22.5,36.15,48,QC
Heavy equipment operators (73400),21,32,41.37,QC
Printing press operators (73401),16,25,31.5,QC
"Drillers and blasters - surface mining, quarrying and construction (73402)",25.73,35,43.34,QC
Mail and parcel sorters and related occupations (74100),18.65,22.8,29.18,QC
Letter carriers (74101),23,29,35,QC
Couriers and messengers (74102),15.25,23,23,QC
Railway yard and track maintenance workers (74200),18.88,32,42,QC
Water transport deck and engine room crew (74201),17.71,25.39,31.08,QC
Air transport ramp attendants (74202),16,19,28,QC
Automotive and heavy truck and equipment parts installers and servicers (74203),15.25,19,22,QC
Utility maintenance workers (74204),24,36.49,39,QC
Public works maintenance equipment operators and related workers (74205),20,24.04,32.84,QC
Longshore workers (75100),23.3,36.09,37,QC
Material handlers (75101),15.25,20,30,QC
Construction trades helpers and labourers (75110),18,25,35.54,QC
Other trades helpers and labourers (75119),16,21.68,33.36,QC
Taxi and limousine drivers and chauffeurs (75200),15.25,15.25,31.25,QC
Delivery service drivers and door-to-door distributors (75201),15.25,18,29,QC
Boat and cable ferry operators and related occupations (75210),17.6,25,31.97,QC
Railway and motor transport labourers (75211),15.25,19,28,QC
Public works and maintenance labourers (75212),18.5,27,31,QC
Managers in natural resources production and fishing (80010),25.35,57.89,113.24,QC
Managers in agriculture (80020),15.25,18.27,40.51,QC
Managers in horticulture (80021),18,21,30,QC
"Supervisors, logging and forestry (82010)",21.28,29.81,42.31,QC
"Supervisors, mining and quarrying (82020)",27,50.48,70,QC
Agricultural service contractors and farm supervisors (82030),16,20.4,27.28,QC
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services (82031)",19,23.08,35,QC
Underground production and development miners (83100),22,35,55.94,QC
Logging machinery operators (83110),21,29,35,QC
Fishermen/women (83121),16,20.21,37.5,QC
Underground mine service and support workers (84100),25,37,46,QC
Oil and gas well drilling and related workers and services operators (84101),16,22,29.12,QC
Chain saw and skidder operators (84110),18.6,25,32,QC
Silviculture and forestry workers (84111),19.18,24,31.27,QC
Specialized livestock workers and farm machinery operators (84120),15.25,18,28.85,QC
Fishing vessel deckhands (84121),16,20,32.86,QC
Livestock labourers (85100),15.25,17,23,QC
Harvesting labourers (85101),15.25,17,23,QC
Nursery and greenhouse labourers (85103),15.25,17.3,22,QC
Mine labourers (85110),20.5,28,39.58,QC
"Oil and gas drilling, servicing and related labourers (85111)",16,20,28,QC
Logging and forestry labourers (85120),17,26,45,QC
Landscaping and grounds maintenance labourers (85121),15.25,20,25.5,QC
Manufacturing managers (90010),28,44.87,78.42,QC
Utilities managers (90011),36.06,62.5,94.87,QC
"Supervisors, mineral and metal processing (92010)",24,32,57,QC
"Supervisors, petroleum, gas and chemical processing and utilities (92011)",25,33,57.69,QC
"Supervisors, food and beverage processing (92012)",20,29,40,QC
"Supervisors, plastic and rubber products manufacturing (92013)",20.5,25.64,42.67,QC
"Supervisors, forest products processing (92014)",22,32,48.08,QC
"Supervisors, textile, fabric, fur and leather products processing and manufacturing (92015)",18,22,32,QC
"Supervisors, motor vehicle assembling (92020)",24,30,43.27,QC
"Supervisors, electronics and electrical products manufacturing (92021)",20,29.91,35.58,QC
"Supervisors, furniture and fixtures manufacturing (92022)",18,24.25,30,QC
"Supervisors, other mechanical and metal products manufacturing (92023)",22,30.6,46,QC
"Supervisors, other products manufacturing and assembly (92024)",25.24,28.21,51.01,QC
Power engineers and power systems operators (92100),21,28.85,51,QC
Water and waste treatment plant operators (92101),20.25,26.8,38,QC
"Central control and process operators, mineral and metal processing (93100)",21,36.5,47.97,QC
"Central control and process operators, petroleum, gas and chemical processing (93101)",18.54,37.26,73.62,QC
"Pulping, papermaking and coating control operators (93102)",23,32,38.46,QC
Aircraft assemblers and aircraft assembly inspectors (93200),19.55,27.5,39,QC
"Machine operators, mineral and metal processing (94100)",22,35,49.5,QC
Foundry workers (94101),16.5,23.4,33.73,QC
Glass forming and finishing machine operators and glass cutters (94102),17,23.66,27.95,QC
"Concrete, clay and stone forming operators (94103)",18.7,24,31.82,QC
"Inspectors and testers, mineral and metal processing (94104)",17.5,24,34.83,QC
Metalworking and forging machine operators (94105),17,22,30.5,QC
Machining tool operators (94106),18,23,34,QC
Machine operators of other metal products (94107),15.5,21,28,QC
Chemical plant machine operators (94110),18,25,33.5,QC
Plastics processing machine operators (94111),16,21,28,QC
Rubber processing machine operators and related workers (94112),17.85,26,35,QC
Sawmill machine operators (94120),17.5,22.5,27,QC
"Pulp mill, papermaking and finishing machine operators (94121)",20,30,37,QC
Paper converting machine operators (94122),16,28.76,33,QC
Lumber graders and other wood processing inspectors and graders (94123),17.25,20.97,29,QC
Woodworking machine operators (94124),15.5,19,26,QC
Other wood processing machine operators (94129),17,21.25,30,QC
"Textile fibre and yarn, hide and pelt processing machine operators and workers (94130)",15.25,17,21.75,QC
"Weavers, knitters and other fabric making occupations (94131)",15.25,17.5,22.32,QC
Industrial sewing machine operators (94132),15.25,15.76,20.74,QC
"Inspectors and graders, textile, fabric, fur and leather products manufacturing (94133)",15.25,16.55,21.98,QC
"Process control and machine operators, food and beverage processing (94140)",15.5,20.39,30,QC
"Industrial butchers and meat cutters, poultry preparers and related workers (94141)",15.38,21,23.85,QC
Fish and seafood plant workers (94142),15.81,17.9,20,QC
"Testers and graders, food and beverage processing (94143)",16.22,21,33.39,QC
Plateless printing equipment operators (94150),15.25,21.82,34.41,QC
"Camera, platemaking and other prepress occupations (94151)",15.7,22.87,34.16,QC
Binding and finishing machine operators (94152),15.25,18.36,27.01,QC
"Motor vehicle assemblers, inspectors and testers (94200)",18.5,29,30,QC
"Electronics assemblers, fabricators, inspectors and testers (94201)",19.15,21.31,34,QC
"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing (94202)",15.25,22,31.5,QC
"Assemblers, fabricators and inspectors, industrial electrical motors and transformers (94203)",15.25,18,30,QC
Mechanical assemblers and inspectors (94204),18,23,32.2,QC
"Machine operators and inspectors, electrical apparatus manufacturing (94205)",15.25,20.56,28.5,QC
"Furniture and fixture assemblers, finishers, refinishers and inspectors (94210)",15.5,20,25,QC
Assemblers and inspectors of other wood products (94211),16.1,19.62,23,QC
"Plastic products assemblers, finishers and inspectors (94212)",15.75,20,26.04,QC
"Industrial painters, coaters and metal finishing process operators (94213)",17,22.75,32,QC
"Other products assemblers, finishers and inspectors (94219)",16,20,27.5,QC
Labourers in mineral and metal processing (95100),17,24.1,43.48,QC
Labourers in metal fabrication (95101),16.79,21,28.5,QC
Labourers in chemical products processing and utilities (95102),16.32,20.3,34.59,QC
"Labourers in wood, pulp and paper processing (95103)",15.5,20,25.57,QC
Labourers in rubber and plastic products manufacturing (95104),16,18.75,22,QC
Labourers in textile processing and cutting (95105),15.25,17.34,22.72,QC
Labourers in food and beverage processing (95106),15.25,18,23.5,QC
Labourers in fish and seafood processing (95107),15.3,17.27,19.92,QC
"Other labourers in processing, manufacturing and utilities (95109)",15.25,17.87,23.37,QC
Legislators (00010),"31,691","73,500","154,000",SK
Senior government managers and officials (00011),32.25,45.58,84.81,SK
"Senior managers - financial, communications and other business services (00012)",43.27,78.85,120.19,SK
Financial managers (10010),26,48.34,82,SK
Human resources managers (10011),39.68,50.48,77.4,SK
Purchasing managers (10012),38.46,51.77,81.73,SK
Other administrative services managers (10019),32,44.42,62.56,SK
"Banking, credit and other investment managers (10021)",32.44,50.48,68.68,SK
"Advertising, marketing and public relations managers (10022)",29,41.59,72.12,SK
Other business services managers (10029),36.75,45,64.1,SK
Telecommunication carriers managers (10030),35,47.06,68.1,SK
Financial auditors and accountants (11100),24.04,41.03,62.5,SK
Financial and investment analysts (11101),28.21,42.31,56.54,SK
Financial advisors (11102),18.02,35.81,127.12,SK
"Securities agents, investment dealers and brokers (11103)",28.85,36.35,52.51,SK
Other financial officers (11109),22,31.25,69.71,SK
Human resources professionals (11200),24,41,55.9,SK
Professional occupations in business management consulting (11201),22.32,37.5,58,SK
"Professional occupations in advertising, marketing and public relations (11202)",20,34,48.21,SK
"Supervisors, general office and administrative support workers (12010)",24.1,32,42,SK
"Supervisors, finance and insurance office workers (12011)",25,33,46.15,SK
"Supervisors, supply chain, tracking and scheduling coordination occupations (12013)",20,28,45.86,SK
Executive assistants (12100),24.04,30.24,36.92,SK
Human resources and recruitment officers (12101),18,36.33,52.31,SK
Procurement and purchasing agents and officers (12102),23.08,33.54,51.92,SK
Employment insurance and revenue officers (12104),26,33,48,SK
"Court reporters, medical transcriptionists and related occupations (12110)",N/A,22.54,N/A,SK
Health information management occupations (12111),22.54,28.81,36.01,SK
Records management technicians (12112),18.75,26.55,31.79,SK
Statistical officers and related research support occupations (12113),N/A,34.27,N/A,SK
Accounting technicians and bookkeepers (12200),15,25,38.46,SK
Insurance adjusters and claims examiners (12201),23.08,30.26,44.1,SK
Insurance underwriters (12202),21,32,45.67,SK
"Assessors, business valuators and appraisers (12203)",24.38,36.03,56.05,SK
Administrative officers (13100),20,27.88,42.86,SK
Property administrators (13101),15.58,28.85,54.19,SK
Payroll administrators (13102),18.46,29.5,36.6,SK
Administrative assistants (13110),17,23.08,32.82,SK
Legal administrative assistants (13111),20,26,32,SK
Medical administrative assistants (13112),17,23.09,33.23,SK
Production and transportation logistics coordinators (13201),17.31,26,47.92,SK
General office support workers (14100),15,22.93,34,SK
Receptionists (14101),14,20,25,SK
Personnel clerks (14102),22.22,28.46,39.17,SK
Court clerks and related court services occupations (14103),21,28,38,SK
Survey interviewers and statistical clerks (14110),17,25.24,30,SK
Data entry clerks (14111),18.46,24.04,30.05,SK
Accounting and related clerks (14200),16.88,23.55,31.72,SK
"Banking, insurance and other financial clerks (14201)",17,25.64,33.33,SK
Collection clerks (14202),N/A,27.25,N/A,SK
Library assistants and clerks (14300),14,16.41,28,SK
"Correspondence, publication and regulatory clerks (14301)",19.75,28.86,35,SK
Shippers and receivers (14400),15,19.6,26.25,SK
Storekeepers and partspersons (14401),18,26,38.34,SK
Production logistics workers (14402),N/A,28.12,N/A,SK
Purchasing and inventory control workers (14403),14,22.5,40.38,SK
Dispatchers (14404),17,27,37.88,SK
Transportation route and crew schedulers (14405),N/A,29.78,N/A,SK
Engineering managers (20010),32.95,59.08,97.25,SK
Architecture and science managers (20011),37.77,47.26,64.29,SK
Computer and information systems managers (20012),43.27,59.62,91.28,SK
Physicists and astronomers (21100),N/A,42.7,N/A,SK
Chemists (21101),N/A,38.74,N/A,SK
Geoscientists and oceanographers (21102),25,40,57.69,SK
Biologists and related scientists (21110),25.72,41.03,57.69,SK
Forestry professionals (21111),27,36.25,48.56,SK
"Agricultural representatives, consultants and specialists (21112)",26.92,38.75,55.29,SK
Public and environmental health and safety professionals (21120),24.73,37,50.26,SK
Architects (21200),30.29,33.65,57.69,SK
Urban and land use planners (21202),30,40.1,60,SK
Land surveyors (21203),24.75,33,38,SK
"Mathematicians, statisticians and actuaries (21210)",N/A,42.83,N/A,SK
Data scientists (21211),N/A,46.65,N/A,SK
Cybersecurity specialists (21220),N/A,42.85,N/A,SK
Business systems specialists (21221),24,37.74,51.48,SK
Information systems specialists (21222),28.5,43.23,65,SK
Database analysts and data administrators (21223),27.88,40,51.92,SK
Computer systems developers and programmers (21230),22.84,40.87,64.1,SK
Software engineers and designers (21231),28.85,43.75,61.54,SK
Software developers and programmers (21232),23.08,36.92,50,SK
Web designers (21233),N/A,22.87,N/A,SK
Web developers and programmers (21234),14,31.76,54.17,SK
Civil engineers (21300),25.75,43.75,69,SK
Mechanical engineers (21301),30.29,37.02,73.33,SK
Electrical and electronics engineers (21310),25,49.04,72.12,SK
Computer engineers (except software engineers and designers) (21311),29.36,44.59,68.75,SK
Chemical engineers (21320),N/A,42.51,N/A,SK
Industrial and manufacturing engineers (21321),27,47,62.5,SK
Mining engineers (21330),N/A,60.03,N/A,SK
Geological engineers (21331),N/A,48.89,N/A,SK
Petroleum engineers (21332),31.25,40.54,53.85,SK
Other professional engineers (21399),36,45.19,63.46,SK
Chemical technologists and technicians (22100),18,27.07,43,SK
Geological and mineral technologists and technicians (22101),17.75,35.71,57.69,SK
Biological technologists and technicians (22110),21,34,41.83,SK
Agricultural and fish products inspectors (22111),14,26.46,42.14,SK
Forestry technologists and technicians (22112),N/A,29.5,N/A,SK
Conservation and fishery officers (22113),23.5,40,52,SK
Landscape and horticulture technicians and specialists (22114),14,24.28,36.19,SK
Architectural technologists and technicians (22210),N/A,34.05,N/A,SK
Industrial designers (22211),N/A,24.44,N/A,SK
Drafting technologists and technicians (22212),23,32,43.27,SK
Technical occupations in geomatics and meteorology (22214),15.52,32.1,57.73,SK
Computer network and web technicians (22220),21,34.44,46.92,SK
User support technicians (22221),19,30.77,40.51,SK
Non-destructive testers and inspectors (22230),22,36.12,44,SK
Engineering inspectors and regulatory officers (22231),N/A,52.21,N/A,SK
Occupational health and safety specialists (22232),26.93,36.3,55.29,SK
Construction inspectors (22233),25,36,46.15,SK
Civil engineering technologists and technicians (22300),24,32.12,43,SK
Mechanical engineering technologists and technicians (22301),30,38.84,56.25,SK
Industrial engineering and manufacturing technologists and technicians (22302),24,40,50,SK
Construction estimators (22303),20.19,46.15,62.6,SK
Electrical and electronics engineering technologists and technicians (22310),25,35.23,55,SK
Electronic service technicians (household and business equipment) (22311),19.71,28,38,SK
Industrial instrument technicians and mechanics (22312),41.75,50.48,61.54,SK
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors (22313)",N/A,37.98,N/A,SK
Managers in health care (30010),36.06,54,81.15,SK
Veterinarians (31103),37.39,43.27,65.71,SK
Dentists (31110),N/A,"110,000",N/A,SK
Optometrists (31111),N/A,"68,500",N/A,SK
Audiologists and speech-language pathologists (31112),40,50,51.08,SK
Pharmacists (31120),43,52,56,SK
Dietitians and nutritionists (31121),23.39,40.9,43,SK
