Occupation (NOC),Low,Median,High,Province
"Store shelf stockers, clerks and order fillers (65102)",16.55,16.55,20,ON
Other sales related occupations (65109),16.55,16.55,29.81,ON
Food and beverage servers (65200),16.55,16.55,25,ON
"Food counter attendants, kitchen helpers and related support occupations (65201)",16.55,16.55,20,ON
Meat cutters and fishmongers – retail and wholesale (65202),16.55,18,24,ON
"Support occupations in accommodation, travel and facilities set-up services (65210)",16.55,18,26.23,ON
"Operators and attendants in amusement, recreation and sport (65211)",16.55,16.55,28,ON
Pet groomers and animal care workers (65220),16.55,17,30,ON
Other support occupations in personal services (65229),N/A,"35,320",N/A,ON
Light duty cleaners (65310),16.55,18,24,ON
Specialized cleaners (65311),16.55,19,28,ON
"Janitors, caretakers and heavy-duty cleaners (65312)",16.55,20.57,28.22,ON
"Dry cleaning, laundry and related occupations (65320)",16.55,16.55,22,ON
Other service support occupations (65329),16.55,16.55,34.2,ON
Construction managers (70010),26.44,46,72.12,ON
Home building and renovation managers (70011),"35,320","43,200","109,000",ON
Facility operation and maintenance managers (70012),22.5,43.27,72.12,ON
Managers in transportation (70020),27.24,45.67,79,ON
Postal and courier services managers (70021),16.55,37.16,66.98,ON
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",27,32.79,50,ON
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",28.27,41.5,57.69,ON
"Contractors and supervisors, pipefitting trades (72012)",23,49,60.3,ON
"Contractors and supervisors, carpentry trades (72013)",21,34,47.6,ON
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",24.04,36,48.08,ON
"Contractors and supervisors, mechanic trades (72020)",22,38.46,59,ON
"Contractors and supervisors, heavy equipment operator crews (72021)",26,36.06,54,ON
"Supervisors, printing and related occupations (72022)",18.65,30.37,48.97,ON
"Supervisors, railway transport operations (72023)",25.12,42.45,55.44,ON
"Supervisors, motor transport and other ground transit operators (72024)",20.19,32,47.18,ON
"Supervisors, mail and message distribution occupations (72025)",19.1,26.86,41.03,ON
Machinists and machining and tooling inspectors (72100),19.6,28.85,36.18,ON
Tool and die makers (72101),19,30,38.46,ON
Sheet metal workers (72102),21,36,50,ON
Boilermakers (72103),28.07,45.64,51,ON
Structural metal and platework fabricators and fitters (72104),18,25,32,ON
Ironworkers (72105),29.53,41.8,47,ON
Welders and related machine operators (72106),19,25.85,38.5,ON
Electricians (except industrial and power system) (72200),18.6,34,50,ON
Industrial electricians (72201),28,38.75,47,ON
Power system electricians (72202),29,49.75,58.07,ON
Electrical power line and cable workers (72203),30,45,52.88,ON
Telecommunications line and cable installers and repairers (72204),21.5,31,40,ON
Telecommunications equipment installation and cable television service technicians (72205),20,30.51,41.57,ON
Plumbers (72300),18,30,50,ON
"Steamfitters, pipefitters and sprinkler system installers (72301)",25.77,42.37,52,ON
Gas fitters (72302),18,30,38,ON
Carpenters (72310),19.5,30,43,ON
Cabinetmakers (72311),17.5,23,30,ON
Bricklayers (72320),23,35,45.14,ON
Insulators (72321),20,33.66,44.71,ON
